project_id,project_name,project_number,land_required_ha,land_available_ha,land_to_be_acquired_ha,land_acquired_till_now_ha,sanction_count,sanction_number,sanction_date,sanction_date_iso,sanction_amount,sanction_amount_total,first_sanction_date,last_sanction_date,num_3a,num_3A,num_3D,total_notifications,first_3a_date,last_3a_date,first_3A_date,last_3A_date,first_3D_date,last_3D_date,first_notification_date,last_notification_date,land_available_pct,land_acquisition_progress_pct,land_remaining_to_acquire_ha,days_3a_to_3A,days_3A_to_3D,days_3a_to_3D,notification_active_span_days,latest_stage,stage_3D_reached,source_url
59501,"Land Acquisition for Up-gradation, redesigning & rehabilitation Gudoora Bridge including approaches from Existing km 16+126 & Design km 8+188 of NH-444 in the UT of Jammu and Kashmir.",MO/2020/59501,1.608,0,1.608,0,1,RW/NH/12018/161/2019 ‌/‌‌/12018/161/2019,16/03/2020,2020-03-16,61700000,61700000,2020-03-16,2020-03-16,2,2,2,6,2020-07-08,2020-07-08,2020-08-07,2020-08-07,2020-11-05,2020-11-05,2020-07-08,2020-11-05,0.0,0.0,1.608,30,90,120,120,3D,1,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59501
59308,"Land Acquisition for Up-gradation, redesigning & rehabilitation from Design km 0+000 to Design km 77.310 including Pulwama Bypasses (Design km 09+450 to 14+300), Shupiyan (Design km 28+000 to km 36+925), Kulgam (Design km 53+600 to 62+350) and Anantnag-Qazigund (Design km 73+100 to 77+310) to 2 lane with Paved shoulder of NH-444 in the UT Jammu & Kashmir under PMDP scheme",MO/2019/59308,99.74,0,99.74,0.5138225,1,RW/NH-12014/1453/2020/J&K/Zone -II / -12014/1453/2020/ / -II,31/03/2020,2020-03-31,1872700000,1872700000,2020-03-31,2020-03-31,6,16,10,32,2020-01-24,2022-05-10,2020-11-25,2026-06-16,2021-11-12,2025-02-17,2020-01-24,2026-06-16,0.0,0.5152,99.226177,306,352,658,2335,3D,1,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59308
59515,Rehabilitation and up - gradation to 2 Lane with paved shoulder from existing chainage km 49.150 to km 64.535 ( Design chainage km 46.450 to km 55.800 Including Constuction of Sungal Tunnel ( Total Length of Tunnel 2.79 km ) under 13 TF on Akhnoor - Poonch Road (NH - 144A ) Under Project Sampark ( BRO) in the U.T. of Jammu & Kashmir on EPC Mode (Package - II ),MO/2020/59515,16.83,6.71,10.12,0,1,RH/NH-12014/1426/2019/J&K RH/NH-12014/1426/2019/J&K,20/03/2020,2020-03-20,7969700000,7969700000,2020-03-20,2020-03-20,2,6,8,16,2020-08-07,2020-08-07,2020-10-01,2024-08-14,2021-02-09,2025-01-09,2020-08-07,2025-01-09,39.8693,0.0,10.12,55,131,186,1616,3D,1,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59515
59520,Rehabilitation and up - gradation to 2 Lane with paved shoulder from existing chainage km 30.053 to km 49.150 ( Design chainage km 30.000 to km 46.450 (Package - I) under 13 TF on Akhnoor - Poonch Road (NH - 144A ) Under Project Sampark ( BRO) in the U.T. of Jammu & Kashmir on EPC Mode (Package - I),MO/2020/59520,29.61,16.61,13,0,1,RW/NH-12014/1424/2019/J&K/Z-II RW/NH-12014/1424/2019/J&K/Z-II,08/07/2020,2020-07-08,2724900000,2724900000,2020-07-08,2020-07-08,2,16,14,32,2020-08-07,2020-08-07,2020-10-01,2025-06-24,2021-02-09,2026-02-18,2020-08-07,2026-02-18,56.0959,0.0,13,55,131,186,2021,3D,1,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59520
59521,Rehabilitation and up - gradation to 2 Lane with paved shoulder from existing chainage km 64.535 to km 85.385 ( Design chainage km 55.800 to km 75.347 under 13 TF on Akhnoor - Poonch Road (NH - 144A ) Under Project Sampark ( BRO) in the U.T. of Jammu & Kashmir on EPC Mode (Package - III ),MO/2020/59521,33.39,11.89,21.5,0,1,No. RH/NH-12014/1431/2019/J&K/Zone-II No. RH/NH-12014/1431/2019/J&K/Zone-II,19/03/2020,2020-03-19,1529300000,1529300000,2020-03-19,2020-03-19,2,12,8,22,2020-07-17,2020-07-17,2020-09-24,2022-07-22,2021-02-09,2021-04-13,2020-07-17,2022-07-22,35.6095,0.0,21.5,69,138,207,735,3D,1,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59521
59523,Rehabilitation and up - gradation to 2 Lane with paved shoulder from existing chainage km 85.385 to km 102.000 ( Design chainage km 75.350 to km 90.150 under 13 TF on Akhnoor - Poonch Road (NH - 144A ) Under Project Sampark ( BRO) in the U.T. of Jammu & Kashmir on EPC Mode (Package - IV ),MO/2020/59523,28.44,19.2,9.24,0,1,No. RH/NH-12014/1406/2019/J&K/Zone-II No. RH/NH-12014/1406/2019/J&K/Zone-II,16/12/2019,2019-12-16,114.75,114.75,2019-12-16,2019-12-16,2,0,0,2,2020-08-07,2020-08-07,,,,,2020-08-07,2020-08-07,67.5105,0.0,9.24,,,,0,3a,0,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59523
59524,Rehabilitation and up - gradation to 2 Lane with paved shoulder from existing chainage km 102.000 to km 134.950 ( Design chainage km 90.150 to km 116.980 Including Constuction of Tunnel ( Total Length of Tunnel 0.695km ) under 31 TF on Akhnoor - Poonch Road (NH - 144A ) Under Project Sampark ( BRO) in the U.T. of Jammu & Kashmir on EPC Mode (Package - V ),MO/2020/59524,141.03,106,35.03,0,1,RW/NH-12014/1483/2020/J&K/Z-II RW/NH-12014/1483/2020/J&K/Z-II,03/03/2021,2021-03-03,6422400000,6422400000,2021-03-03,2021-03-03,2,18,10,30,2020-08-07,2020-08-07,1900-01-01,2025-03-26,2021-02-17,2026-03-05,1900-01-01,2026-03-05,75.1613,0.0,35.03,-44048,44242,194,46084,3D,1,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59524
59525,Rehabilitation and up - gradation to 2 Lane with paved shoulder from existing chainage km 134.950 to km 166.050 (Design chainage km 116.980 to km 146.700 under 31 TF on Akhnoor - Poonch Road (NH - 144A ) Under Project Sampark ( BRO) in the U.T. of Jammu & Kashmir on EPC Mode (Package - VI ),MO/2020/59525,53.28,19.55,33.73,0.2225,1,RW/NH-12014/1491/2021/J&K/Z-II RW/NH-12014/1491/2021/J&K/Z-II,02/07/2021,2021-07-02,3952500000,3952500000,2021-07-02,2021-07-02,2,18,10,30,2020-08-07,2020-08-07,2020-10-28,2025-02-11,2021-03-23,2025-12-29,2020-08-07,2025-12-29,36.6929,0.6597,33.5075,82,146,228,1970,3D,1,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59525
59526,Rehabilitation and up - gradation to 2 Lane with paved shoulder from existing chainage km 166.050 to km 192.850 ( Design chainage km 146.700 to km 162.800 Including Constuction of Tunnel ( Total Length of Tunnel 0.900 km ) under 31 TF on Akhnoor - Poonch Road (NH - 144A ) Under Project Sampark ( BRO) in the U.T. of Jammu & Kashmir on EPC Mode (Package - VII ),MO/2020/59526,61.81,1.08,60.73,0.2158,1,RW/NH-12014/1495/2021/J&K/Zone-II RW/NH-12014/1495/2021/J&K/Zone-II,13/09/2021,2021-09-13,7346400000,7346400000,2021-09-13,2021-09-13,2,18,6,26,2020-08-07,2020-08-07,2021-02-17,2025-01-20,2021-12-23,2025-12-31,2020-08-07,2025-12-31,1.7473,0.3553,60.5142,194,309,503,1972,3D,1,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59526
59527,Rehabilitation and up - gradation to 2 Lane with paved shoulder from existing chainage km 199.150 to km 229.817 ( Design chainage km 162.800 to km 198.250 under 31 TF on Akhnoor - Poonch Road (NH - 144A ) Under Project Sampark ( BRO) in the U.T. of Jammu & Kashmir on EPC Mode (Package - VIII ),MO/2020/59527,63.77,23.2,40.57,0.0271,1,RW/NH-12014/1499/J&K/2021/Z-II RW/NH-12014/1499/J&K/2021/Z-II,06/10/2022,2022-10-06,5624500000,5624500000,2022-10-06,2022-10-06,2,30,14,46,2020-08-07,2020-08-07,2021-06-14,2024-06-14,2021-11-11,2025-01-20,2020-08-07,2025-01-20,36.3807,0.0668,40.5429,311,150,461,1627,3D,1,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=59527
61302,SRehabilitation and up - gradation to 2 Lane with paved shoulder from existing chainage km 199.150 to km 229.817 ( Design chainage km 162.800 to km 198.250 under 31 TF on Akhnoor - Poonch Road (NH - 144A ) Under Project Sampark ( BRO) in the U.T. of Jammu & Kashmir on EPC Mode,MO/2024/61302,63.77,23.2,40.57,0,0,,,,,0,,,2,0,0,2,2020-08-07,2020-08-07,,,,,2020-08-07,2020-08-07,36.3807,0.0,40.57,,,,0,3a,0,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61302
